"#","RatingOffice","ReferenceNumber","Yacht Name","Sail Number","Certificate GPH","Issue Date","Age","Class","Designer","Builder","aph","gph"
"1","EST","EST00000512","DEBORA RODRIQUES","EST 462","Club","27/08/2009","2005","FIRST 34.7","FARR YACHT DESIGN","BENETEAU","n/a","637.6"
"2","EST","EST00000509","BRIGITTA-X","EST 606","International","12/08/2009","2007","X-34","JEPPESEN NIELS","X-YACHTS","n/a","637.0"
"3","EST","EST00000507","RED HOT","EST 453","Club","11/08/2009","1991","JEANNEAU 35 OD","ANDRIEU DANIEL","JEANNEAU","n/a","634.2"
"4","EST","EST00000492","ELINA","EST 495","Club","06/08/2009","2005","OCEANIS 50","RACOUPEAU / BERRET JEAN","BENETEAU","n/a","659.8"
"5","EST","EST00000490","PILLE-RIIN","EST 24","Club","06/08/2009","1984","POLARIS","SET","SET","n/a","727.6"
"6","EST","EST00000484","PREMIUM","EST 499","International","20/07/2009","2006","X-41 OD","JEPPESEN NIELS","X-YACHTS","n/a","572.7"
"7","EST","EST00000478","KADRI","EST 185","Club","19/07/2009","1982","CONRAD 760","PETTERSON PELLE","TELIGA L","n/a","756.1"
"8","EST","EST00000475","BERTA","EST 619","International","11/07/2009","2008","ELAN 380","HUMPHREYS","ELAN YACHTS","n/a","615.1"
"9","EST","EST00000471","BERING","EST 463","International","10/07/2009","2006","X-41 OD","JEPPESEN NIELS","X-YACHTS","n/a","568.8"
"10","EST","EST00000468","PÕHJAKONN","EST 333","International","10/07/2009","1993","X-362 SPORT","JEPPESEN NIELS","X-YACHTS","n/a","639.6"
"11","EST","EST00000447","SUN SOFIA","EST 555","International","06/07/2009","2006","DEHLER 44","VOOGD / SIMONIS ALEXANDER","DEHLER","n/a","575.5"
"12","EST","EST00000446","VENUS","EST 319","International","06/07/2009","1997","RIDAS 35","LOENNGREN GUY","RIDAS YACHTS","n/a","645.0"
"13","EST","EST00000445","SYLVIA","EST 478","Club","06/07/2009","2005","GRAND SOLEIL 43 BC","CARKEEK / BOTIN","DEL PARDO","n/a","591.1"
"14","EST","EST00000443","KATARIINA II","EST 431","International","06/07/2009","2001","ARCONA 40","QUIBERG STEFAN","BO MARIN","n/a","609.5"
"15","EST","EST00000441","JUKO","EST 405","Club","02/07/2009","1984","POLARIS","SET","SET","n/a","721.3"
"16","EST","EST00000437","FANATIC","EST-239","International","02/07/2009","1997","GUYLINE 355","LOENNGREN GUY","GLOBOTRON","n/a","640.4"
"17","EST","EST00000436","MERIHUNT","EST 270","International","02/07/2009","1979","X-79","JEPPESEN NIELS","X-YACHTS","n/a","695.5"
"18","EST","EST00000430","TESSA","EST 324","Club","01/07/2009","1997","RIDAS 35","LOENNGREN GUY / RIDAS","RIDAS YACHTS","n/a","648.6"
"19","EST","EST00000429","SOPHIA","EST 480","International","30/06/2009","2002","DUFOUR 40","FELCI","DUFOUR","n/a","624.0"
"20","EST","EST00000426","EDASI","EST 11","Club","26/06/2009","1984","POLARIS","SET","SET","n/a","725.6"
"21","EST","EST00000421","LADY BIRD","EST 299","International","24/06/2009","2001","AKTON 395","LUTRA","AKTON YACHTS","n/a","576.5"
"22","EST","EST00000419","St. Iv","EST 617","Club","22/06/2009","1990","CONRAD 1200",,"CONRAD","n/a","648.8"
"23","EST","EST00000398","PEGASUS","EST 599","Club","18/06/2009","2006","FIRST 50","BRIAND PHILIPPE","BENETEAU","n/a","575.1"
"24","EST","EST00000368","VESTA R","EST 83","Club","12/06/2009","1981","CETUS","HOFFMAN E","TELIGA L","n/a","609.8"
"25","EST","EST00000364","MIA","EST 330","Club","12/06/2009","2000","GRAND SURPRISE 31","NIVELT BERNARD","ARCHAMBAULT","n/a","632.1"
"26","EST","EST00000362","ZUXU","EST 537","International","10/06/2009","2004","X-37","JEPPESEN NIELS","X-YACHTS","n/a","618.0"
"27","EST","EST00000360","ZUXU","EST 537","International","10/06/2009","2004","X-37","JEPPESEN NIELS","X-YACHTS","n/a","618.0"
"28","EST","EST00000349","STELLA II","EST 572","Club","07/06/2009","2002","FIRST 27.7","FINOT","BENETEAU","n/a","684.9"
"29","EST","EST00000346","BELLA","EST 491","Club","07/06/2009","1998","FIRST 31.7","FARR YACHT DESIGN","BENETEAU","n/a","680.6"
"30","EST","EST00000345","LENNY","EST 790","Club","07/06/2009","1993","MELGES 24","REICHEL / PUGH",,"n/a","605.1"
"31","EST","EST00000344","ADELE","EST 467","International","05/06/2009","2005","FIRST 34.7","FARR YACHT DESIGN","BENETEAU","n/a","645.1"
"32","EST","EST00000342","SILVA","EST 407","International","04/06/2009","2001","FIRST 36.7","FARR YACHT DESIGN","BENETEAU","n/a","621.9"
"33","EST","EST00000339","BRITTEL","EST 294","Club","04/06/2009","2000","BAVARIA 40",,"BAVARIA YACHTS","n/a","664.5"
"34","EST","EST00000318","LUISA","EST 541","Club","03/06/2009","1981","MAXI FENIX","PETTERSON PELLE","MOLNLYCKE","n/a","770.1"
"35","EST","EST00000295","HELENA","EST 395","Club","01/06/2009","2004","BAVARIA 35 MATCH","JAKOPIN & JAKOPIN","BAVARIA YACHTS","n/a","625.8"
"36","EST","EST00000293","LEPA","EST 434","International","31/05/2009","2004","ELAN 37","HUMPHREYS","ELAN YACHTS","n/a","620.8"
"37","EST","EST00000292","HERMES-X","EST 505","International","31/05/2009","2003","X-43","JEPPESEN NIELS","X-YACHTS","n/a","588.6"
"38","EST","EST00000290","TORMILIND","EST 90","Club","29/05/2009","1981","CETUS","HOFFMAN E","TELIGA L","n/a","608.1"
"39","EST","EST00000278","ENEL","EST 353","Club","29/05/2009","1999","CROSS 31","BLANK DIETER","RIDAS YACHTS","n/a","649.2"
"40","EST","EST00000262","MINNI","EST 251","Club","25/05/2009","1984","POLARIS","SET","SET","n/a","727.6"
"41","EST","EST00000207","GRETA","EST F5","Club","21/05/2009","1941","FOLKBOAT",,,"n/a","859.0"
"42","EST","EST00000206","TEMPER","EST-188","Club","21/05/2009","1983","FINNFLYER 31","STILL EIVIND","POLAR YACHTS","n/a","688.0"
"43","EST","EST00000205","LEILA","EST 242","Club","21/05/2009","1984","POLARIS","SET","SET","n/a","723.3"
"44","EST","EST00000204","TUULE","EST 408","International","21/05/2009","2003","FIRST 44.7","FARR YACHT DESIGN","BENETEAU","n/a","575.2"
"45","EST","EST00000203","LIND","EST 515","Club","21/05/2009","1982","GRANHILL 33",,"BATTEKNO","n/a","684.9"
"46","EST","EST00000201","AUDI SPORT","EST 550","International","21/05/2009","2003","GRAND SOLEIL 42 R","CARKEEK / BOTIN","DEL PARDO","n/a","573.2"
"47","EST","EST00000200","GEORG","EST-278","International","21/05/2009","1994","X-332","JEPPESEN NIELS","X-YACHTS","n/a","657.1"
"48","EST","EST00000199","FREYA","EST 571","International","21/05/2009","2001","FIRST 36.7","FARR YACHT DESIGN","BENETEAU","n/a","635.2"
"49","EST","EST00000191","ADVENTURE","EST 533","Club","21/05/2009","2001","FIRST 36.7","FARR YACHT DESIGN","BENETEAU","n/a","623.0"
"50","EST","EST00000187","CASSIOPEIA","EST 272","Club","21/05/2009","1997","RIDAS 35","LOENNGREN GUY","RIDAS YACHTS","n/a","637.2"
"51","EST","EST00000186","PÕHJAKONN","EST 333","International","21/05/2009","1993","X-362 SPORT","JEPPESEN NIELS","X-YACHTS","n/a","639.7"
"52","EST","EST00000183","VANISHING POINT","EST-31","Club","21/05/2009","1985","X-99","JEPPESEN NIELS","X-YACHTS","n/a","633.6"
"53","EST","EST00000162","ENELI","EST 107","Club","17/05/2009","1984","POLARIS","SET","SET","n/a","723.2"
"54","EST","EST00000161","4 energy","EST 573","Club","17/05/2009","1993","MELGES 24","REICHEL / PUGH",,"n/a","605.1"
"55","EST","EST00000160","RED DREAM","EST 545","International","17/05/2009","2007","DEHLER 34","VOOGD / SIMONIS ALEXANDER","DEHLER","n/a","623.8"
"56","EST","EST00000155","MERION","EST 400","International","16/05/2009","2003","ARCHAMBAULT A40","NIVELT BERNARD","ARCHAMBAULT","n/a","587.8"
"57","EST","EST00000154","LILIANN","EST 396","Club","16/05/2009","1982","ONE OFF","NORLIN PETER","JANSSON / ZARINS","n/a","681.0"
"58","EST","EST00000153","WindWalker","EST479","Club","16/05/2009","2003","BAVARIA 37",,"BAVARIA YACHTS","n/a","672.4"
"59","EST","EST00000152","LILI MARLEEN","EST-216","Club","16/05/2009","1982","X-95","JEPPESEN NIELS","X-YACHTS","n/a","685.4"
"60","EST","EST00000151","MEREPÄRL","EST 406","International","16/05/2009","2001","FIRST 36.7","FARR YACHT DESIGN","BENETEAU","n/a","622.6"
"61","EST","EST00000150","ERNA","EST 207","Club","16/05/2009","1966","L 6","KISELEV","VCSPS","n/a","694.0"
"62","EST","EST00000146","DEJA VU","EST 494","International","12/05/2009","2005","FIRST 34.7","FARR YACHT DESIGN","BENETEAU","n/a","643.0"
"63","EST","EST00000144","ZARAH MAY","EST-271","International","11/05/2009","1997","RIDAS 35","LOENNGREN GUY","RIDAS YACHTS","n/a","643.0"
"64","EST","EST00000131","KATARINA JEE","EST 464","International","09/05/2009","2005","FIRST 34.7","FARR YACHT DESIGN","BENETEAU","n/a","646.0"
"65","EST","EST00000128","BETA I","EST 358","Club","06/05/2009","1904","FIRST CLASS 7.5",,"BENETEAU","n/a","659.4"
"66","EST","EST00000127","CASSANDRA","EST 513","Club","06/05/2009","1972","MORE 30",,,"n/a","755.7"
"67","EST","EST00000126","SINILIND","EST 520","Club","06/05/2009","1930","BAVARIA 33",,"BAVARIA YACHTS","n/a","687.5"
"68","EST","EST00000125","TUULELAUL","EST 175","Club","05/05/2009","1984","POLARIS","SET","SET","n/a","724.5"
"69","EST","EST00000123","CHARISMA","EST 608","Club","05/05/2009","2006","ARCHAMBAULT A40 RC","NIVELT BERNARD","ARCHAMBAULT","n/a","556.9"
"70","EST","EST00000119","MY CLIPPER","EST 373","Club","05/05/2009","1999","OCEANIS 373","NIVELT BERNARD","BENETEAU","n/a","693.1"
"71","EST","EST00000118","ALFA I","EST 359","Club","05/05/2009","1904","FIRST CLASS 7.5",,"BENETEAU","n/a","659.4"
"72","EST","EST00000116","SANTA MARIA","EST 386","Club","04/05/2009","2005","BRIIS 38","JAKOVLEV B","MASTER YACHT INT","n/a","586.0"
"73","EST","EST00000111","VIRU - I","EST 95","Club","04/05/2009","1982","CONRAD 25","PETTERSON PELLE",,"n/a","755.3"
"74","EST","EST00000110","VESILENNUK","EST 94","International","04/05/2009","1992","POLARIS","SET","SET","n/a","727.1"
"75","EST","EST00000108","BLANCA","EST 73","Club","04/05/2009","1984","POLARIS","SET","SET","n/a","724.2"
"76","EST","EST00000102","BOSSA NOVA","EST 379","International","03/05/2009","2001","FIRST 36.7","FARR YACHT DESIGN","BENETEAU","n/a","620.3"
"77","EST","EST00000085","ROCK CITY","EST 761","Club","02/05/2009","1993","MELGES 24","REICHEL / PUGH",,"n/a","605.1"
"78","EST","EST00000084","DEJA VU","EST 646","Club","02/05/2009","1993","MELGES 24","REICHEL / PUGH",,"n/a","605.1"
"79","EST","EST00000082","NAUTILUS","EST 603","Club","02/05/2009","1993","J 80","JOHNSTONE","J BOATS","n/a","669.4"
"80","EST","EST00000079","FRANZISKA","EST493","Club","02/05/2009","2003","BAVARIA 36",,"BAVARIA YACHTS","n/a","694.3"
"81","EST","EST00000078","EVELYN III","EST 477","International","02/05/2009","2005","FIRST 34.7","FARR YACHT DESIGN","BENETEAU","n/a","644.4"
"82","EST","EST00000077","FORTE","EST 475","International","02/05/2009","2006","X-41 OD","JEPPESEN NIELS","X-YACHTS","n/a","571.2"
"83","EST","EST00000076","LOTTE","EST 469","Club","02/05/2009","2006","BAVARIA 44","JAKOPIN & JAKOPIN","BAVARIA YACHTS","n/a","605.7"
"84","EST","EST00000075","JAZZ","EST 465","International","02/05/2009","2005","FIRST 34.7","FARR YACHT DESIGN","BENETEAU","n/a","643.0"
"85","EST","EST00000074","NORA","EST415","International","02/05/2009","2004","BAVARIA 35 MATCH","JAKOPIN & JAKOPIN","BAVARIA YACHTS","n/a","630.1"
"86","EST","EST00000071","POHJATÄHT","EST 404","Club","02/05/2009",,"BAVARIA 30",,"BAVARIA YACHTS","n/a","710.8"
"87","EST","EST00000070","VIVIDOR","EST 345","International","02/05/2009","1997","RIDAS 35","LOENNGREN GUY / RIDAS","RIDAS YACHTS","n/a","647.3"
"88","EST","EST00000069","SEABIRD","EST 337","Club","02/05/2009","1998","FIRST 31.7","FARR YACHT DESIGN","BENETEAU","n/a","679.8"
"89","EST","EST00000067","VICTORIA","EST 311","International","02/05/2009","1997","RIDAS 35","LOENNGREN GUY","RIDAS YACHTS","n/a","638.4"
"90","EST","EST00000066","KARINA","EST 267","Club","02/05/2009","1975","CARTER 30","CARTER DICK",,"n/a","741.1"
"91","EST","EST00000065","KAROLINA","EST 54","Club","02/05/2009","1975","CARTER 30","CARTER DICK",,"n/a","734.9"
"92","EST","EST00000064","MERCURIUS","EST 45","Club","02/05/2009","1975","CARTER 30","CARTER DICK",,"n/a","733.8"
"93","EST","EST00000063","LAGLE","EST 15","Club","02/05/2009","1984","POLARIS","SET","SET","n/a","721.0"
"94","EST","EST00000062","LAGLE","EST 25","Club","02/05/2009","1984","POLARIS","SET","SET","n/a","721.0"
"95","EST","EST00000061","LOTE","EST 460","Club","02/05/2009","1974","COMPIS 28","ANDERSSON BERNT","KARLSTAD","n/a","768.7"
"96","EST","EST00000060","ZOO","EST 430","Club","02/05/2009","1979","BANNER 28 RACER MKII","OUDRUP","FIBERBADE","n/a","682.8"
"97","EST","EST00000059","CENTAUR","EST 371","International","02/05/2009","1998","FIRST 31.7","FARR YACHT DESIGN","BENETEAU","n/a","676.0"
"98","EST","EST00000058","VESILEENU","EST 157","Club","02/05/2009","1984","POLARIS","SET","SET","n/a","722.3"
"99","EST","EST00000057","ENE","EST 93","Club","02/05/2009","1981","CONRAD 25","PETTERSON PELLE",,"n/a","757.4"
"100","EST","EST00000056","TRIINI","EST 52","Club","02/05/2009","1977","ALKOR","VCSPS","VCSPS","n/a","680.3"
"101","EST","EST00000055","MARIS","EST 174","Club","02/05/2009","1985","CONRAD 25","PETTERSON PELLE",,"n/a","768.0"
